coverage,length_score,structure_score,hedge_count,word_count_norm,score
0.639,0.025,0.275,0,0.0,59
0.741,0.545,0.59,0,0.404,76
0.505,0.027,0.199,1,0.087,53
0.449,0.278,0.869,2,0.37,60
0.34,0.155,0.957,0,0.036,62
0.359,0.344,0.265,0,0.413,61
0.973,0.379,0.552,2,0.418,78
0.362,0.192,0.07,1,0.11,48
0.08,0.233,0.101,0,0.219,52
0.163,0.355,0.67,1,0.486,55
0.609,0.171,0.729,0,0.16,67
0.925,0.688,0.22,0,0.791,87
0.229,0.032,0.315,0,0.0,56
0.567,0.718,0.213,0,0.687,78
0.459,0.265,0.247,1,0.277,60
0.428,0.584,0.362,0,0.587,63
0.047,0.11,0.627,2,0.164,41
0.385,0.596,0.468,0,0.737,72
0.011,0.721,0.682,1,0.796,58
0.34,0.294,0.158,0,0.43,62
0.263,0.501,0.179,0,0.612,57
0.639,0.609,0.153,2,0.507,68
0.922,0.918,0.599,0,0.774,97
0.879,0.832,0.308,0,0.754,87
0.079,0.732,0.816,2,0.742,49
0.66,0.947,0.165,1,1.0,74
0.212,0.539,0.73,0,0.603,63
0.672,0.373,0.9,0,0.259,74
0.338,0.588,0.23,0,0.44,66
0.059,0.067,0.031,0,0.0,40
0.669,0.214,0.132,1,0.237,58
0.473,0.407,0.094,1,0.386,57
0.467,0.729,0.673,1,0.609,69
0.339,0.862,0.249,0,0.873,65
0.183,0.463,0.874,0,0.446,67
0.55,0.051,0.999,2,0.0,54
0.754,0.236,0.406,0,0.15,71
0.059,0.379,0.985,0,0.507,62
0.285,0.697,0.731,2,0.714,62
0.155,0.297,0.969,1,0.368,50
0.314,0.05,0.477,2,0.059,40
0.508,0.851,0.069,0,0.904,69
0.12,0.89,0.246,1,0.752,52
0.657,0.565,0.316,0,0.476,77
0.239,0.396,0.672,0,0.383,67
0.936,0.009,0.621,1,0.158,66
0.213,0.265,0.933,0,0.379,59
0.158,0.834,0.704,1,0.979,66
0.529,0.668,0.555,1,0.549,74
0.264,0.89,0.742,0,0.822,73
0.718,0.204,0.634,0,0.206,70
0.908,0.051,0.634,2,0.0,60
0.771,0.637,0.262,1,0.62,76
0.561,0.112,0.945,1,0.233,65
0.835,0.583,0.148,0,0.446,77
0.933,0.972,0.04,0,0.885,85
0.103,0.78,0.884,0,0.922,69
0.926,0.237,0.163,2,0.33,70
0.025,0.737,0.332,0,0.828,62
0.811,0.267,0.787,0,0.232,73
0.471,0.2,0.918,0,0.142,71
0.228,0.024,0.193,0,0.0,44
0.773,0.351,0.509,1,0.495,72
0.939,0.115,0.97,0,0.139,88
0.038,0.597,0.346,2,0.541,47
0.511,0.385,0.577,0,0.248,68
0.52,0.807,0.687,1,0.878,69
0.431,0.949,0.921,1,0.893,79
0.72,0.3,0.309,0,0.248,74
0.554,0.192,0.665,0,0.245,73
0.616,0.301,0.548,0,0.242,67
0.786,0.607,0.322,0,0.59,76
0.473,0.901,0.796,0,0.949,77
0.664,0.619,0.093,2,0.539,61
0.807,0.147,0.046,0,0.18,72
0.455,0.886,0.576,1,0.945,71
0.244,0.656,0.006,2,0.764,54
0.778,0.219,0.804,1,0.224,66
0.249,0.848,0.456,2,0.837,58
0.559,0.317,0.755,0,0.351,74
0.505,0.831,0.548,0,0.904,76
0.259,0.247,0.638,2,0.33,49
0.239,0.44,0.714,0,0.372,61
0.54,0.138,0.231,1,0.034,54
0.415,0.331,0.466,0,0.243,63
0.905,0.584,0.696,2,0.698,77
0.477,0.943,0.299,0,1.0,81
0.419,0.748,0.546,1,0.867,67
0.273,0.486,0.389,1,0.54,55
0.165,0.467,0.128,1,0.477,55
0.592,0.663,0.084,0,0.554,71
0.05,0.379,0.212,0,0.33,55
0.278,0.951,0.422,2,0.826,54
0.539,1.0,0.35,1,0.871,79
0.04,0.031,0.247,2,0.0,30
0.126,0.669,0.564,0,0.659,59
0.369,0.606,0.964,1,0.49,71
0.965,0.108,0.026,0,0.131,78
0.375,0.941,0.198,1,0.998,67
0.102,0.772,0.85,1,0.864,64
0.566,0.041,0.533,1,0.002,59
0.341,0.85,0.822,0,0.83,73
0.892,0.46,0.153,0,0.53,84
0.27,0.808,0.538,0,0.797,72
0.592,0.322,0.245,0,0.256,67
0.75,0.57,0.668,0,0.429,85
0.182,0.212,0.798,0,0.146,59
0.88,0.556,0.517,0,0.432,86
0.489,0.758,0.691,1,0.822,71
0.017,0.294,0.404,0,0.236,51
0.473,0.531,0.426,1,0.546,62
0.454,0.307,0.231,1,0.215,53
0.536,0.762,0.185,0,0.834,70
0.59,0.76,0.597,0,0.86,76
0.361,0.302,0.708,0,0.234,70
0.553,0.697,0.126,2,0.773,57
0.012,0.284,0.479,0,0.189,45
0.941,0.478,0.822,0,0.476,88
0.686,0.152,0.811,0,0.028,70
0.558,0.416,0.596,1,0.334,67
0.451,0.443,0.86,0,0.385,72
0.61,0.74,0.948,0,0.778,79
0.081,0.24,0.552,0,0.091,52
0.594,0.291,0.231,1,0.226,66
0.071,0.233,0.265,2,0.271,41
0.934,0.425,0.545,1,0.32,75
0.142,0.06,0.793,1,0.135,49
0.289,0.124,0.689,1,0.095,51
0.54,0.438,0.598,0,0.508,72
0.026,0.229,0.674,2,0.252,47
1.0,0.672,0.27,0,0.751,83
0.519,0.442,0.278,1,0.423,66
0.969,0.47,0.408,0,0.521,88
0.33,0.694,0.288,0,0.788,67
0.455,0.315,0.323,2,0.286,54
0.988,0.658,0.543,0,0.524,89
0.623,0.498,0.442,0,0.409,74
0.928,0.438,0.698,0,0.297,86
0.799,0.71,0.311,0,0.726,77
0.992,0.913,0.461,0,0.957,89
0.933,0.292,0.705,0,0.392,88
0.244,0.551,0.384,1,0.553,61
0.864,0.276,0.79,0,0.228,84
0.267,0.003,0.726,2,0.029,52
0.49,0.149,0.539,0,0.099,67
0.377,0.933,0.87,1,0.855,71
0.856,0.411,0.318,0,0.473,82
0.386,0.664,0.821,0,0.663,67
0.502,0.59,0.87,2,0.694,61
0.91,0.015,0.144,2,0.061,57
0.469,0.969,0.339,1,0.938,66
0.329,0.674,0.534,0,0.712,73
0.488,0.541,0.617,0,0.58,77
0.997,0.747,0.434,0,0.825,92
0.101,0.166,0.299,0,0.03,53
0.293,0.375,0.146,1,0.349,55
0.18,0.175,0.609,0,0.211,52
0.913,0.143,0.461,0,0.131,78
0.899,0.465,0.288,1,0.362,74
0.346,0.588,0.639,0,0.645,68
0.302,0.999,0.853,0,0.92,77
0.575,0.993,0.295,2,1.0,67
0.566,0.686,0.745,0,0.809,81
0.833,0.903,0.776,0,0.935,89
0.637,0.621,0.678,1,0.701,76
0.137,0.097,0.627,0,0.04,52
0.58,0.732,0.09,0,0.68,72
0.201,0.787,0.876,0,0.796,74
0.83,0.257,0.825,0,0.397,77
0.87,0.804,0.468,0,0.696,93
0.86,0.724,0.98,2,0.815,79
0.791,0.014,0.537,0,0.0,74
0.262,0.381,0.639,0,0.264,58
0.025,0.884,0.561,1,0.8,52
0.824,0.909,0.302,0,0.794,80
0.037,0.996,0.116,0,1.0,56
0.454,0.67,0.743,1,0.646,72
0.155,0.415,0.099,0,0.45,59
0.28,0.69,0.217,0,0.825,68
0.099,0.686,0.544,1,0.644,55
0.19,0.122,0.848,0,0.0,53
0.639,0.971,0.051,0,0.894,74
0.565,0.069,0.765,0,0.095,71
0.233,0.774,0.789,1,0.625,69
0.145,0.13,0.251,0,0.013,54
0.132,0.358,0.788,1,0.305,50
0.052,0.742,0.526,1,0.611,55
0.362,0.594,0.452,0,0.728,61
0.783,0.867,0.521,0,0.91,80
0.999,0.847,0.426,0,0.844,96
0.073,0.081,0.608,0,0.0,51
0.585,0.712,0.381,1,0.721,70
0.605,0.099,0.702,2,0.145,63
0.551,0.865,0.43,0,0.839,81
0.399,0.73,0.313,0,0.78,68
0.153,0.923,0.067,2,0.799,51
0.745,0.373,0.13,0,0.399,73
0.33,0.122,0.354,1,0.254,50
0.916,0.051,0.288,0,0.006,74
0.213,0.657,0.224,0,0.612,62
0.115,0.279,0.226,0,0.383,57
0.818,0.614,0.643,0,0.647,86
0.693,0.029,0.273,2,0.0,54
0.006,0.87,0.566,0,0.741,64
0.972,0.092,0.53,0,0.068,76
0.37,0.722,0.777,1,0.751,72
0.156,0.754,0.05,0,0.686,61
0.486,0.442,0.273,2,0.446,54
0.111,0.678,0.593,1,0.728,51
0.395,0.599,0.008,0,0.733,67
0.764,0.289,0.12,0,0.363,67
0.38,0.704,0.5,2,0.754,58
0.397,0.742,0.436,0,0.868,75
0.576,0.573,0.709,0,0.51,75
0.966,0.172,0.948,0,0.272,89
0.088,0.844,0.243,1,0.814,50
0.871,0.746,0.222,2,0.646,74
0.114,0.51,0.906,0,0.465,67
0.645,0.148,0.103,0,0.057,66
0.76,0.656,0.177,2,0.694,67
0.564,0.579,0.681,1,0.622,76
0.323,0.971,0.316,0,0.841,70
0.303,0.275,0.056,1,0.147,50
0.038,0.369,0.287,1,0.478,50
0.615,0.507,0.463,1,0.643,71
0.041,0.909,0.572,0,0.855,63
0.151,0.062,0.104,2,0.015,40
0.505,0.173,0.248,0,0.32,62
0.61,0.364,0.918,0,0.337,73
0.598,0.789,0.647,0,0.738,81
0.387,0.252,0.852,1,0.364,58
0.583,0.141,0.35,1,0.201,58
0.595,0.938,0.31,0,0.981,77
0.128,0.703,0.947,1,0.827,56
0.67,0.508,0.018,0,0.412,67
0.948,0.486,0.227,0,0.382,79
0.788,0.508,0.54,1,0.623,69
0.337,0.766,0.131,0,0.662,62
0.693,0.625,0.903,1,0.606,76
0.676,0.238,0.444,0,0.314,74
0.234,0.239,0.966,2,0.23,55
0.368,0.947,0.984,0,1.0,82
0.503,0.419,0.162,0,0.509,61
0.25,0.641,0.874,1,0.771,66
0.516,0.125,0.084,0,0.057,64
0.147,0.437,0.946,0,0.532,67
0.93,0.415,0.396,0,0.336,87
0.375,0.028,0.931,2,0.092,50
0.146,0.038,0.917,0,0.097,50
0.706,0.449,0.005,0,0.305,67
0.15,0.94,0.609,0,0.823,65
0.301,0.048,0.42,2,0.085,39
0.837,0.5,0.536,1,0.505,73
0.144,0.429,0.615,0,0.45,55
0.668,0.523,0.361,1,0.536,73
0.508,0.02,0.873,0,0.061,71
0.254,0.016,0.789,0,0.0,58
0.104,0.582,0.757,0,0.445,62
0.814,0.175,0.779,0,0.319,77
0.182,0.135,0.716,0,0.0,52
0.791,0.886,0.316,0,0.891,90
0.543,0.253,0.753,0,0.189,74
0.048,0.656,0.273,2,0.616,51
0.743,0.895,0.387,0,0.894,84
0.924,0.519,0.801,1,0.496,81
0.995,0.18,0.294,0,0.054,80
0.306,0.603,0.426,1,0.586,59
0.727,0.912,0.615,0,0.844,92
0.948,0.075,0.638,0,0.079,81
0.16,0.031,0.849,1,0.115,44
0.067,0.779,0.366,0,0.914,54
0.153,0.45,0.371,0,0.529,58
0.529,0.398,0.65,0,0.536,65
0.186,0.518,0.914,0,0.447,62
0.446,0.996,0.286,0,0.906,71
0.074,0.173,0.713,0,0.266,58
0.987,0.668,0.71,1,0.681,90
0.851,0.712,0.927,1,0.614,83
0.224,0.985,0.792,0,1.0,67
0.554,0.369,0.804,1,0.258,72
0.066,0.398,0.717,0,0.406,60
0.823,0.074,0.972,1,0.0,72
0.517,0.128,0.829,1,0.17,58
0.966,0.433,0.911,0,0.532,88
0.304,0.162,0.935,0,0.116,67
0.895,0.846,0.251,1,0.983,79
0.625,0.614,0.093,1,0.515,72
0.154,0.659,0.721,1,0.61,64
0.041,0.864,0.081,1,0.945,50
0.211,0.572,0.618,0,0.571,65
0.29,0.957,0.483,2,1.0,60
0.454,0.689,0.158,0,0.684,65
0.607,0.313,0.718,1,0.459,65
0.399,0.761,0.515,0,0.707,71
0.267,0.248,0.097,0,0.382,58
0.418,0.963,0.902,2,0.911,71
0.313,0.763,0.498,1,0.753,68
0.497,0.09,0.393,0,0.23,58
0.353,0.051,0.495,2,0.097,47
0.537,0.847,0.431,0,0.915,80
0.366,0.401,0.57,0,0.36,62
0.386,0.45,0.55,2,0.597,58
0.119,0.975,0.394,2,1.0,56
0.366,0.144,0.602,0,0.144,55
0.137,0.333,0.474,0,0.228,60
0.14,0.931,0.319,0,1.0,67
0.299,0.336,0.828,1,0.333,60
0.475,0.017,0.331,0,0.161,60
0.797,0.725,0.688,0,0.754,83
0.656,0.972,0.578,0,1.0,85
0.171,0.629,0.62,2,0.593,57
0.242,0.573,0.701,0,0.429,63
0.151,0.691,0.41,2,0.724,51
0.848,0.727,0.706,1,0.639,80
0.662,0.525,0.314,0,0.513,74
0.546,0.676,0.868,1,0.719,76
0.61,0.192,0.247,1,0.132,66
0.982,0.771,0.705,1,0.832,85
0.349,0.934,0.795,0,0.87,77
0.543,0.896,0.395,0,1.0,81
0.29,0.288,0.714,0,0.415,63
0.747,0.214,0.828,0,0.344,78
0.137,0.616,0.587,0,0.481,66
0.226,0.233,0.1,0,0.298,48
0.771,0.005,0.55,0,0.0,75
0.878,0.477,0.199,0,0.423,80
0.908,0.089,0.574,1,0.161,76
0.037,0.921,0.418,2,0.824,57
0.997,0.397,0.495,1,0.536,84
0.877,0.009,0.568,0,0.138,72
0.454,0.641,0.524,0,0.746,71
0.193,0.113,0.162,0,0.157,52
0.014,0.337,0.295,1,0.414,41
0.856,0.897,0.827,1,0.845,86
0.095,0.982,0.477,0,0.834,64
0.447,0.267,0.33,1,0.334,52
0.654,0.693,0.062,0,0.683,70
0.686,0.923,0.888,2,0.866,73
0.916,0.295,0.615,0,0.432,81
0.455,0.989,0.374,1,1.0,71
0.538,0.664,0.218,0,0.718,72
0.787,0.526,0.528,0,0.399,81
0.062,0.548,0.505,1,0.559,48
0.854,0.442,0.68,1,0.467,72
0.51,0.809,0.453,1,0.784,71
0.559,0.673,0.308,0,0.642,77
0.746,0.578,0.045,0,0.638,75
0.06,0.894,0.986,0,0.754,67
0.769,0.766,0.978,1,0.905,82
0.891,0.449,0.917,0,0.412,88
0.662,0.539,0.654,0,0.425,83
0.393,0.127,0.979,2,0.0,49
0.298,0.673,0.544,1,0.637,59
0.461,0.155,0.188,1,0.235,49
0.66,0.615,0.936,0,0.537,76
0.594,0.446,0.672,2,0.311,67
0.402,0.234,0.217,2,0.317,45
0.993,0.234,0.916,1,0.18,81
0.673,0.321,0.302,0,0.467,71
0.414,0.275,0.557,1,0.389,64
0.626,0.427,0.496,0,0.559,75
0.786,0.319,0.416,0,0.259,71
0.538,0.241,0.225,2,0.303,57
0.915,0.562,0.968,1,0.571,83
0.255,0.33,0.079,0,0.434,50
0.725,0.19,0.268,1,0.221,59
0.073,0.805,0.588,1,0.823,57
0.869,0.333,0.957,0,0.247,80
0.741,0.747,0.754,0,0.806,87
0.397,0.239,0.322,0,0.203,61
0.359,0.262,0.513,0,0.252,65
0.722,0.762,0.32,0,0.723,79
0.563,0.221,0.146,0,0.237,64
0.72,0.295,0.196,0,0.259,74
0.499,0.655,0.685,0,0.734,74
0.724,0.74,0.461,1,0.828,72
0.72,0.488,0.917,1,0.635,81
0.524,0.839,0.074,2,0.889,66
0.412,0.843,0.231,1,0.738,62
0.456,0.06,0.638,1,0.184,59
0.016,0.532,0.411,0,0.541,51
0.977,0.017,0.813,1,0.0,80
0.179,0.918,0.524,0,0.826,68
0.815,0.267,0.397,0,0.405,74
0.243,0.697,0.3,2,0.801,55
0.858,0.76,0.094,0,0.723,82
0.637,0.703,0.083,2,0.683,67
0.566,0.858,0.095,1,0.984,66
0.901,0.692,0.567,0,0.556,82
0.926,0.899,0.564,0,0.803,96
0.016,0.207,0.144,2,0.271,34
0.077,0.162,0.24,2,0.267,40
0.541,0.384,0.74,2,0.531,64
0.501,0.974,0.054,0,0.894,69
0.605,0.614,0.596,2,0.562,68
0.784,0.451,0.228,1,0.583,70
0.68,0.661,0.086,1,0.6,66
0.074,0.268,0.38,2,0.308,44
0.317,0.107,0.005,0,0.09,55
0.102,0.087,0.431,1,0.103,43
0.026,0.354,0.093,1,0.439,47
0.012,0.414,0.779,1,0.534,55
0.978,0.572,0.17,0,0.473,81
0.268,0.146,0.167,0,0.122,53
0.077,0.252,0.247,1,0.251,46
0.458,0.135,0.007,0,0.085,59
0.804,0.33,0.335,2,0.427,67
0.594,0.3,0.603,1,0.21,63
0.965,0.969,0.291,1,1.0,92
0.782,0.326,0.28,2,0.294,59
0.564,0.592,0.546,1,0.672,63
0.727,0.943,0.21,2,0.88,75
0.819,0.796,0.409,0,0.688,82
0.253,0.154,0.423,0,0.026,61
0.479,0.401,0.507,2,0.459,58
0.791,0.36,0.896,1,0.388,81
0.109,0.248,0.665,0,0.292,49
0.984,0.677,0.4,2,0.626,81
0.106,0.099,0.222,1,0.105,43
0.575,0.446,0.391,2,0.5,63
0.151,0.998,0.483,0,0.973,73
0.116,0.941,0.142,0,0.894,65
0.521,0.348,0.098,1,0.407,57
0.3,0.81,0.115,2,0.763,51
0.8,0.93,0.74,1,0.832,81
0.56,0.958,0.232,0,0.997,74
0.657,0.396,0.737,0,0.381,75
0.004,0.215,0.278,1,0.308,37
0.102,0.872,0.187,0,0.781,56
0.671,0.489,0.966,0,0.518,81
0.587,0.348,0.846,1,0.25,71
0.801,0.919,0.59,1,0.809,78
0.305,0.183,0.693,1,0.15,56
0.575,0.423,0.487,1,0.481,68
1.0,0.555,0.49,0,0.461,91
0.619,0.866,0.952,0,0.757,89
0.964,0.505,0.495,1,0.503,82
0.444,0.167,0.565,2,0.245,50
0.275,0.538,0.168,0,0.558,63
0.495,0.511,0.573,0,0.594,75
0.367,0.823,0.042,1,0.805,59
0.425,0.736,0.654,0,0.675,79
0.45,0.349,0.817,0,0.459,64
